program,gate,gate_name,gate_bits,cells,is_lambda16_term,short_form,example_G,example_X,example_Y
61,4,p AND NOT q,'0100,4,no,λpqab.p (q b (p (q b a) b)) b,q AND NOT p,IMPLIES (p -> q),p AND NOT q
62,0,FALSE,'0000,4,no,λpqab.q (p (q b a) b) b,q AND NOT p,NOT Q,p AND NOT q
63,0,FALSE,'0000,4,no,λpqab.p (q (p (q b a) b) b) b,q AND NOT p,NAND,p AND NOT q
64,0,FALSE,'0000,4,no,λpqab.p b (q (p (q b a) b) b),q AND NOT p,CONVERSE (q -> p),p AND NOT q
65,5,XOR,'0110,92,yes,λpqab.p (q b a) (q a b),q AND NOT p,FALSE,XOR
66,4,p AND NOT q,'0100,4,no,λpqab.p (p (q b a) (q a b)) (q b (p (q b a) (q a b))),q AND NOT p,q AND NOT p,XOR
67,5,XOR,'0110,4,no,λpqab.p (q b (p (q b a) (q a b))) (p (q b a) (q a b)),q AND NOT p,AND,XOR
68,4,p AND NOT q,'0100,4,no,λpqab.q b (p (q b a) (q a b)),q AND NOT p,Q,XOR
69,1,q AND NOT p,'0010,4,no,λpqab.p (q (p (q b a) (q a b)) b) (p (q b a) (q a b)),q AND NOT p,p AND NOT q,XOR
70,0,FALSE,'0000,4,no,λpqab.p (q (p (q b a) (q a b)) b) (q b (p (q b a) (q a b))),q AND NOT p,XOR,XOR
71,1,q AND NOT p,'0010,4,no,λpqab.p b (p (q b a) (q a b)),q AND NOT p,P,XOR
72,0,FALSE,'0000,4,no,λpqab.p b (q b (p (q b a) (q a b))),q AND NOT p,OR,XOR
73,5,XOR,'0110,4,no,λpqab.p (p (q b a) (q a b)) (q (p (q b a) (q a b)) b),q AND NOT p,NOR,XOR
74,4,p AND NOT q,'0100,4,no,λpqab.p (p (q b a) (q a b)) b,q AND NOT p,NOT P,XOR
75,5,XOR,'0110,4,no,λpqab.p (q b (p (q b a) (q a b))) (q (p (q b a) (q a b)) b),q AND NOT p,XNOR,XOR
76,4,p AND NOT q,'0100,4,no,λpqab.p (q b (p (q b a) (q a b))) b,q AND NOT p,IMPLIES (p -> q),XOR
77,1,q AND NOT p,'0010,4,no,λpqab.q (p (q b a) (q a b)) b,q AND NOT p,NOT Q,XOR
78,0,FALSE,'0000,4,no,λpqab.p (q (p (q b a) (q a b)) b) b,q AND NOT p,NAND,XOR
79,1,q AND NOT p,'0010,4,no,λpqab.p b (q (p (q b a) (q a b)) b),q AND NOT p,CONVERSE (q -> p),XOR
80,6,P,'1100,88,yes,λpqab.p a b,q AND NOT p,FALSE,P
81,6,P,'1100,4,no,λpqab.p (p a b) (q b (p a b)),q AND NOT p,q AND NOT p,P
82,4,p AND NOT q,'0100,4,no,λpqab.p (q b (p a b)) (p a b),q AND NOT p,AND,P
83,4,p AND NOT q,'0100,4,no,λpqab.q b (p a b),q AND NOT p,Q,P
84,2,AND,'1000,4,no,λpqab.p (q (p a b) b) (p a b),q AND NOT p,p AND NOT q,P
85,2,AND,'1000,4,no,λpqab.p (q (p a b) b) (q b (p a b)),q AND NOT p,XOR,P
86,0,FALSE,'0000,4,no,λpqab.p b (p a b),q AND NOT p,P,P
87,0,FALSE,'0000,4,no,λpqab.p b (q b (p a b)),q AND NOT p,OR,P
88,6,P,'1100,4,no,λpqab.p (p a b) (q (p a b) b),q AND NOT p,NOR,P
89,6,P,'1100,4,no,λpqab.p (p a b) b,q AND NOT p,NOT P,P
90,4,p AND NOT q,'0100,4,no,λpqab.p (q b (p a b)) (q (p a b) b),q AND NOT p,XNOR,P
91,4,p AND NOT q,'0100,4,no,λpqab.p (q b (p a b)) b,q AND NOT p,IMPLIES (p -> q),P
92,2,AND,'1000,4,no,λpqab.q (p a b) b,q AND NOT p,NOT Q,P
93,2,AND,'1000,4,no,λpqab.p (q (p a b) b) b,q AND NOT p,NAND,P
94,0,FALSE,'0000,4,no,λpqab.p b (q (p a b) b),q AND NOT p,CONVERSE (q -> p),P
95,7,OR,'1110,92,yes,λpqab.p a (q a b),q AND NOT p,FALSE,OR
96,6,P,'1100,4,no,λpqab.p (p a (q a b)) (q b (p a (q a b))),q AND NOT p,q AND NOT p,OR
97,5,XOR,'0110,4,no,λpqab.p (q b (p a (q a b))) (p a (q a b)),q AND NOT p,AND,OR
98,4,p AND NOT q,'0100,4,no,λpqab.q b (p a (q a b)),q AND NOT p,Q,OR
99,3,Q,'1010,4,no,λpqab.p (q (p a (q a b)) b) (p a (q a b)),q AND NOT p,p AND NOT q,OR
100,2,AND,'1000,4,no,λpqab.p (q (p a (q a b)) b) (q b (p a (q a b))),q AND NOT p,XOR,OR
101,1,q AND NOT p,'0010,4,no,λpqab.p b (p a (q a b)),q AND NOT p,P,OR
102,0,FALSE,'0000,4,no,λpqab.p b (q b (p a (q a b))),q AND NOT p,OR,OR
103,7,OR,'1110,4,no,λpqab.p (p a (q a b)) (q (p a (q a b)) b),q AND NOT p,NOR,OR
104,6,P,'1100,4,no,λpqab.p (p a (q a b)) b,q AND NOT p,NOT P,OR
105,5,XOR,'0110,4,no,λpqab.p (q b (p a (q a b))) (q (p a (q a b)) b),q AND NOT p,XNOR,OR
106,4,p AND NOT q,'0100,4,no,λpqab.p (q b (p a (q a b))) b,q AND NOT p,IMPLIES (p -> q),OR
107,3,Q,'1010,4,no,λpqab.q (p a (q a b)) b,q AND NOT p,NOT Q,OR
108,2,AND,'1000,4,no,λpqab.p (q (p a (q a b)) b) b,q AND NOT p,NAND,OR
109,1,q AND NOT p,'0010,4,no,λpqab.p b (q (p a (q a b)) b),q AND NOT p,CONVERSE (q -> p),OR
110,8,NOR,'0001,92,yes,λpqab.p b (q b a),q AND NOT p,FALSE,NOR
111,8,NOR,'0001,4,no,λpqab.p (p b (q b a)) (q b (p b (q b a))),q AND NOT p,q AND NOT p,NOR
112,8,NOR,'0001,4,no,λpqab.p (q b (p b (q b a))) (p b (q b a)),q AND NOT p,AND,NOR
113,8,NOR,'0001,4,no,λpqab.q b (p b (q b a)),q AND NOT p,Q,NOR
114,8,NOR,'0001,4,no,λpqab.p (q (p b (q b a)) b) (p b (q b a)),q AND NOT p,p AND NOT q,NOR
115,8,NOR,'0001,4,no,λpqab.p (q (p b (q b a)) b) (q b (p b (q b a))),q AND NOT p,XOR,NOR
116,8,NOR,'0001,4,no,λpqab.p b (p b (q b a)),q AND NOT p,P,NOR
117,8,NOR,'0001,4,no,λpqab.p b (q b (p b (q b a))),q AND NOT p,OR,NOR
118,0,FALSE,'0000,4,no,λpqab.p (p b (q b a)) (q (p b (q b a)) b),q AND NOT p,NOR,NOR
119,0,FALSE,'0000,4,no,λpqab.p (p b (q b a)) b,q AND NOT p,NOT P,NOR
120,0,FALSE,'0000,4,no,λpqab.p (q b (p b (q b a))) (q (p b (q b a)) b),q AND NOT p,XNOR,NOR
121,0,FALSE,'0000,4,no,λpqab.p (q b (p b (q b a))) b,q AND NOT p,IMPLIES (p -> q),NOR
122,0,FALSE,'0000,4,no,λpqab.q (p b (q b a)) b,q AND NOT p,NOT Q,NOR
123,0,FALSE,'0000,4,no,λpqab.p (q (p b (q b a)) b) b,q AND NOT p,NAND,NOR
124,0,FALSE,'0000,4,no,λpqab.p b (q (p b (q b a)) b),q AND NOT p,CONVERSE (q -> p),NOR
125,9,NOT P,'0011,88,yes,λpqab.p b a,q AND NOT p,FALSE,NOT P
126,8,NOR,'0001,4,no,λpqab.p (p b a) (q b (p b a)),q AND NOT p,q AND NOT p,NOT P
127,9,NOT P,'0011,4,no,λpqab.p (q b (p b a)) (p b a),q AND NOT p,AND,NOT P
128,8,NOR,'0001,4,no,λpqab.q b (p b a),q AND NOT p,Q,NOT P
129,9,NOT P,'0011,4,no,λpqab.p (q (p b a) b) (p b a),q AND NOT p,p AND NOT q,NOT P
130,8,NOR,'0001,4,no,λpqab.p (q (p b a) b) (q b (p b a)),q AND NOT p,XOR,NOT P
131,9,NOT P,'0011,4,no,λpqab.p b (p b a),q AND NOT p,P,NOT P
132,8,NOR,'0001,4,no,λpqab.p b (q b (p b a)),q AND NOT p,OR,NOT P
133,1,q AND NOT p,'0010,4,no,λpqab.p (p b a) (q (p b a) b),q AND NOT p,NOR,NOT P
134,0,FALSE,'0000,4,no,λpqab.p (p b a) b,q AND NOT p,NOT P,NOT P
135,1,q AND NOT p,'0010,4,no,λpqab.p (q b (p b a)) (q (p b a) b),q AND NOT p,XNOR,NOT P
136,0,FALSE,'0000,4,no,λpqab.p (q b (p b a)) b,q AND NOT p,IMPLIES (p -> q),NOT P
137,1,q AND NOT p,'0010,4,no,λpqab.q (p b a) b,q AND NOT p,NOT Q,NOT P
138,0,FALSE,'0000,4,no,λpqab.p (q (p b a) b) b,q AND NOT p,NAND,NOT P
139,1,q AND NOT p,'0010,4,no,λpqab.p b (q (p b a) b),q AND NOT p,CONVERSE (q -> p),NOT P
140,10,XNOR,'1001,92,yes,λpqab.p (q a b) (q b a),q AND NOT p,FALSE,XNOR
141,10,XNOR,'1001,4,no,λpqab.p (p (q a b) (q b a)) (q b (p (q a b) (q b a))),q AND NOT p,q AND NOT p,XNOR
142,8,NOR,'0001,4,no,λpqab.p (q b (p (q a b) (q b a))) (p (q a b) (q b a)),q AND NOT p,AND,XNOR
143,8,NOR,'0001,4,no,λpqab.q b (p (q a b) (q b a)),q AND NOT p,Q,XNOR
144,10,XNOR,'1001,4,no,λpqab.p (q (p (q a b) (q b a)) b) (p (q a b) (q b a)),q AND NOT p,p AND NOT q,XNOR
145,10,XNOR,'1001,4,no,λpqab.p (q (p (q a b) (q b a)) b) (q b (p (q a b) (q b a))),q AND NOT p,XOR,XNOR
146,8,NOR,'0001,4,no,λpqab.p b (p (q a b) (q b a)),q AND NOT p,P,XNOR
147,8,NOR,'0001,4,no,λpqab.p b (q b (p (q a b) (q b a))),q AND NOT p,OR,XNOR
148,2,AND,'1000,4,no,λpqab.p (p (q a b) (q b a)) (q (p (q a b) (q b a)) b),q AND NOT p,NOR,XNOR
149,2,AND,'1000,4,no,λpqab.p (p (q a b) (q b a)) b,q AND NOT p,NOT P,XNOR
150,0,FALSE,'0000,4,no,λpqab.p (q b (p (q a b) (q b a))) (q (p (q a b) (q b a)) b),q AND NOT p,XNOR,XNOR
151,0,FALSE,'0000,4,no,λpqab.p (q b (p (q a b) (q b a))) b,q AND NOT p,IMPLIES (p -> q),XNOR
152,2,AND,'1000,4,no,λpqab.q (p (q a b) (q b a)) b,q AND NOT p,NOT Q,XNOR
153,2,AND,'1000,4,no,λpqab.p (q (p (q a b) (q b a)) b) b,q AND NOT p,NAND,XNOR
154,0,FALSE,'0000,4,no,λpqab.p b (q (p (q a b) (q b a)) b),q AND NOT p,CONVERSE (q -> p),XNOR
155,11,IMPLIES (p -> q),'1011,92,yes,λpqab.p (q a b) a,q AND NOT p,FALSE,IMPLIES (p -> q)
156,10,XNOR,'1001,4,no,λpqab.p (p (q a b) a) (q b (p (q a b) a)),q AND NOT p,q AND NOT p,IMPLIES (p -> q)
157,9,NOT P,'0011,4,no,λpqab.p (q b (p (q a b) a)) (p (q a b) a),q AND NOT p,AND,IMPLIES (p -> q)
158,8,NOR,'0001,4,no,λpqab.q b (p (q a b) a),q AND NOT p,Q,IMPLIES (p -> q)
159,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (q (p (q a b) a) b) (p (q a b) a),q AND NOT p,p AND NOT q,IMPLIES (p -> q)
160,10,XNOR,'1001,4,no,λpqab.p (q (p (q a b) a) b) (q b (p (q a b) a)),q AND NOT p,XOR,IMPLIES (p -> q)
161,9,NOT P,'0011,4,no,λpqab.p b (p (q a b) a),q AND NOT p,P,IMPLIES (p -> q)
162,8,NOR,'0001,4,no,λpqab.p b (q b (p (q a b) a)),q AND NOT p,OR,IMPLIES (p -> q)
163,3,Q,'1010,4,no,λpqab.p (p (q a b) a) (q (p (q a b) a) b),q AND NOT p,NOR,IMPLIES (p -> q)
164,2,AND,'1000,4,no,λpqab.p (p (q a b) a) b,q AND NOT p,NOT P,IMPLIES (p -> q)
165,1,q AND NOT p,'0010,4,no,λpqab.p (q b (p (q a b) a)) (q (p (q a b) a) b),q AND NOT p,XNOR,IMPLIES (p -> q)
166,0,FALSE,'0000,4,no,λpqab.p (q b (p (q a b) a)) b,q AND NOT p,IMPLIES (p -> q),IMPLIES (p -> q)
167,3,Q,'1010,4,no,λpqab.q (p (q a b) a) b,q AND NOT p,NOT Q,IMPLIES (p -> q)
168,2,AND,'1000,4,no,λpqab.p (q (p (q a b) a) b) b,q AND NOT p,NAND,IMPLIES (p -> q)
169,1,q AND NOT p,'0010,4,no,λpqab.p b (q (p (q a b) a) b),q AND NOT p,CONVERSE (q -> p),IMPLIES (p -> q)
170,12,NOT Q,'0101,88,yes,λpqab.q b a,q AND NOT p,FALSE,NOT Q
171,12,NOT Q,'0101,4,no,λpqab.p (q b a) (q b (q b a)),q AND NOT p,q AND NOT p,NOT Q
172,12,NOT Q,'0101,4,no,λpqab.p (q b (q b a)) (q b a),q AND NOT p,AND,NOT Q
173,12,NOT Q,'0101,4,no,λpqab.q b (q b a),q AND NOT p,Q,NOT Q
174,8,NOR,'0001,4,no,λpqab.p (q (q b a) b) (q b a),q AND NOT p,p AND NOT q,NOT Q
175,8,NOR,'0001,4,no,λpqab.p (q (q b a) b) (q b (q b a)),q AND NOT p,XOR,NOT Q
176,8,NOR,'0001,4,no,λpqab.p b (q b (q b a)),q AND NOT p,OR,NOT Q
177,4,p AND NOT q,'0100,4,no,λpqab.p (q b a) (q (q b a) b),q AND NOT p,NOR,NOT Q
178,4,p AND NOT q,'0100,4,no,λpqab.p (q b (q b a)) (q (q b a) b),q AND NOT p,XNOR,NOT Q
179,4,p AND NOT q,'0100,4,no,λpqab.p (q b (q b a)) b,q AND NOT p,IMPLIES (p -> q),NOT Q
180,0,FALSE,'0000,4,no,λpqab.q (q b a) b,q AND NOT p,NOT Q,NOT Q
181,0,FALSE,'0000,4,no,λpqab.p (q (q b a) b) b,q AND NOT p,NAND,NOT Q
182,0,FALSE,'0000,4,no,λpqab.p b (q (q b a) b),q AND NOT p,CONVERSE (q -> p),NOT Q
183,13,NAND,'0111,92,yes,λpqab.p (q b a) a,q AND NOT p,FALSE,NAND
184,12,NOT Q,'0101,4,no,λpqab.p (p (q b a) a) (q b (p (q b a) a)),q AND NOT p,q AND NOT p,NAND
185,13,NAND,'0111,4,no,λpqab.p (q b (p (q b a) a)) (p (q b a) a),q AND NOT p,AND,NAND
186,12,NOT Q,'0101,4,no,λpqab.q b (p (q b a) a),q AND NOT p,Q,NAND
187,9,NOT P,'0011,4,no,λpqab.p (q (p (q b a) a) b) (p (q b a) a),q AND NOT p,p AND NOT q,NAND
188,8,NOR,'0001,4,no,λpqab.p (q (p (q b a) a) b) (q b (p (q b a) a)),q AND NOT p,XOR,NAND
189,9,NOT P,'0011,4,no,λpqab.p b (p (q b a) a),q AND NOT p,P,NAND
190,8,NOR,'0001,4,no,λpqab.p b (q b (p (q b a) a)),q AND NOT p,OR,NAND
191,5,XOR,'0110,4,no,λpqab.p (p (q b a) a) (q (p (q b a) a) b),q AND NOT p,NOR,NAND
192,4,p AND NOT q,'0100,4,no,λpqab.p (p (q b a) a) b,q AND NOT p,NOT P,NAND
193,5,XOR,'0110,4,no,λpqab.p (q b (p (q b a) a)) (q (p (q b a) a) b),q AND NOT p,XNOR,NAND
194,4,p AND NOT q,'0100,4,no,λpqab.p (q b (p (q b a) a)) b,q AND NOT p,IMPLIES (p -> q),NAND
195,1,q AND NOT p,'0010,4,no,λpqab.q (p (q b a) a) b,q AND NOT p,NOT Q,NAND
196,0,FALSE,'0000,4,no,λpqab.p (q (p (q b a) a) b) b,q AND NOT p,NAND,NAND
197,1,q AND NOT p,'0010,4,no,λpqab.p b (q (p (q b a) a) b),q AND NOT p,CONVERSE (q -> p),NAND
198,14,CONVERSE (q -> p),'1101,92,yes,λpqab.p a (q b a),q AND NOT p,FALSE,CONVERSE (q -> p)
199,14,CONVERSE (q -> p),'1101,4,no,λpqab.p (p a (q b a)) (q b (p a (q b a))),q AND NOT p,q AND NOT p,CONVERSE (q -> p)
200,12,NOT Q,'0101,4,no,λpqab.p (q b (p a (q b a))) (p a (q b a)),q AND NOT p,AND,CONVERSE (q -> p)
201,12,NOT Q,'0101,4,no,λpqab.q b (p a (q b a)),q AND NOT p,Q,CONVERSE (q -> p)
202,10,XNOR,'1001,4,no,λpqab.p (q (p a (q b a)) b) (p a (q b a)),q AND NOT p,p AND NOT q,CONVERSE (q -> p)
203,10,XNOR,'1001,4,no,λpqab.p (q (p a (q b a)) b) (q b (p a (q b a))),q AND NOT p,XOR,CONVERSE (q -> p)
204,8,NOR,'0001,4,no,λpqab.p b (p a (q b a)),q AND NOT p,P,CONVERSE (q -> p)
205,8,NOR,'0001,4,no,λpqab.p b (q b (p a (q b a))),q AND NOT p,OR,CONVERSE (q -> p)
206,6,P,'1100,4,no,λpqab.p (p a (q b a)) (q (p a (q b a)) b),q AND NOT p,NOR,CONVERSE (q -> p)
207,6,P,'1100,4,no,λpqab.p (p a (q b a)) b,q AND NOT p,NOT P,CONVERSE (q -> p)
208,4,p AND NOT q,'0100,4,no,λpqab.p (q b (p a (q b a))) (q (p a (q b a)) b),q AND NOT p,XNOR,CONVERSE (q -> p)
209,4,p AND NOT q,'0100,4,no,λpqab.p (q b (p a (q b a))) b,q AND NOT p,IMPLIES (p -> q),CONVERSE (q -> p)
210,2,AND,'1000,4,no,λpqab.q (p a (q b a)) b,q AND NOT p,NOT Q,CONVERSE (q -> p)
211,2,AND,'1000,4,no,λpqab.p (q (p a (q b a)) b) b,q AND NOT p,NAND,CONVERSE (q -> p)
212,0,FALSE,'0000,4,no,λpqab.p b (q (p a (q b a)) b),q AND NOT p,CONVERSE (q -> p),CONVERSE (q -> p)
213,15,TRUE,'1111,396,yes,λpqab.a,q AND NOT p,FALSE,TRUE
214,0,FALSE,'0000,4,no,λpqab.p (p b (q a b)) (q (p a (q b a)) (p b (q a b))),XOR,q AND NOT p,q AND NOT p
215,3,Q,'1010,4,no,λpqab.p (q (p a (q b a)) (p b (q a b))) (p b (q a b)),XOR,AND,q AND NOT p
216,2,AND,'1000,4,no,λpqab.q (p a (q b a)) (p b (q a b)),XOR,Q,q AND NOT p
217,5,XOR,'0110,4,no,λpqab.p (q (p b (q a b)) (p a (q b a))) (p b (q a b)),XOR,p AND NOT q,q AND NOT p
218,4,p AND NOT q,'0100,4,no,λpqab.p (q (p b (q a b)) (p a (q b a))) (q (p a (q b a)) (p b (q a b))),XOR,XOR,q AND NOT p
219,7,OR,'1110,4,no,λpqab.p (p a (q b a)) (p b (q a b)),XOR,P,q AND NOT p
220,6,P,'1100,4,no,λpqab.p (p a (q b a)) (q (p a (q b a)) (p b (q a b))),XOR,OR,q AND NOT p
221,9,NOT P,'0011,4,no,λpqab.p (p b (q a b)) (q (p b (q a b)) (p a (q b a))),XOR,NOR,q AND NOT p
222,8,NOR,'0001,4,no,λpqab.p (p b (q a b)) (p a (q b a)),XOR,NOT P,q AND NOT p
223,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (q (p a (q b a)) (p b (q a b))) (q (p b (q a b)) (p a (q b a))),XOR,XNOR,q AND NOT p
224,10,XNOR,'1001,4,no,λpqab.p (q (p a (q b a)) (p b (q a b))) (p a (q b a)),XOR,IMPLIES (p -> q),q AND NOT p
225,13,NAND,'0111,4,no,λpqab.q (p b (q a b)) (p a (q b a)),XOR,NOT Q,q AND NOT p
226,12,NOT Q,'0101,4,no,λpqab.p (q (p b (q a b)) (p a (q b a))) (p a (q b a)),XOR,NAND,q AND NOT p
227,15,TRUE,'1111,4,no,λpqab.p (p a (q b a)) (q (p b (q a b)) (p a (q b a))),XOR,CONVERSE (q -> p),q AND NOT p
228,3,Q,'1010,4,no,λpqab.p (p (q a b) b) (q (p (q b a) a) (p (q a b) b)),XOR,q AND NOT p,AND
229,0,FALSE,'0000,4,no,λpqab.p (q (p (q b a) a) (p (q a b) b)) (p (q a b) b),XOR,AND,AND
230,1,q AND NOT p,'0010,4,no,λpqab.q (p (q b a) a) (p (q a b) b),XOR,Q,AND
231,6,P,'1100,4,no,λpqab.p (q (p (q a b) b) (p (q b a) a)) (p (q a b) b),XOR,p AND NOT q,AND
232,7,OR,'1110,4,no,λpqab.p (q (p (q a b) b) (p (q b a) a)) (q (p (q b a) a) (p (q a b) b)),XOR,XOR,AND
233,4,p AND NOT q,'0100,4,no,λpqab.p (p (q b a) a) (p (q a b) b),XOR,P,AND
234,5,XOR,'0110,4,no,λpqab.p (p (q b a) a) (q (p (q b a) a) (p (q a b) b)),XOR,OR,AND
235,10,XNOR,'1001,4,no,λpqab.p (p (q a b) b) (q (p (q a b) b) (p (q b a) a)),XOR,NOR,AND
236,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (p (q a b) b) (p (q b a) a),XOR,NOT P,AND
